CustomerID,LastTrans,FirstTrans,LastTransCost,SizeLastTrans,NoTrans,TimePeriod,TransPerUnitTime,NoOfTrans,CostPerUnitTime,CostPerTrans,TotalCost,SizePerUnitTime,SizePerTrans,Churn
MzEzMDA1Nzk,34,36,497470,3447,3,3,1.0,3,2992.6666666666665,2992.6666666666665,8978,463832.0,463832.0,1
MzEzMDA1ODM,34,36,361817,2589,3,3,1.0,3,2275.6666666666665,2275.6666666666665,6827,304780.3333333333,304780.3333333333,1
MzEzMDA1ODg,35,36,224078,2598,2,2,1.0,2,1374.5,1374.5,2749,125333.5,125333.5,1
MzEzMDA1OTM,34,36,312121,2159,3,3,1.0,3,2086.3333333333335,2086.3333333333335,6259,326174.0,326174.0,1
MzEzMDA1OTQ,34,36,302377,2243,3,3,1.0,3,1921.0,1921.0,5763,263206.0,263206.0,1
MzEzMDA1OTc,34,36,45522,188,3,3,1.0,3,248.66666666666666,248.66666666666666,746,56125.666666666664,56125.666666666664,1
MzEzMDA1OTg,34,36,55011,399,3,3,1.0,3,333.6666666666667,333.6666666666667,1001,40354.666666666664,40354.666666666664,1
MzEzMDA2MDA,34,36,36920,263,3,3,1.0,3,226.66666666666666,226.66666666666666,680,31099.333333333332,31099.333333333332,1
MzEzMDA2MDE,34,36,671473,4985,3,3,1.0,3,5042.666666666667,5042.666666666667,15128,687148.6666666666,687148.6666666666,1
MzEzMDA2MDc,34,36,943771,6504,3,3,1.0,3,6360.666666666667,6360.666666666667,19082,910717.3333333334,910717.3333333334,1
MzEzMDA2MTA,34,36,84872,584,3,3,1.0,3,472.3333333333333,472.3333333333333,1417,66170.0,66170.0,1
MzEzMDA2Mzk,34,36,75972,515,3,3,1.0,3,488.3333333333333,488.3333333333333,1465,99146.66666666667,99146.66666666667,1
MzEzMDA2NDA,34,35,24790,200,2,2,1.0,2,299.5,299.5,599,40227.0,40227.0,1
MzEzMDA2NDE,34,36,44059,163,2,3,0.6666666666666666,2,104.33333333333333,156.5,313,34684.0,52026.0,1
