Total,Pass,Treat1,Treat2,Dose1,Dose2
58,40,A,X,6,8
55,37,A,Y,7,6
46,31,A,X,9,7
55,36,A,Y,4,6
40,19,B,Y,7,7
52,48,B,X,6,6
46,22,B,Y,6,8
49,45,B,X,7,6
52,35,A,X,9,5
58,38,A,X,4,7
58,41,A,X,3,8
40,39,B,X,9,6
58,40,A,Y,7,6
55,37,A,X,3,6
46,32,B,X,4,8
49,23,B,Y,8,5
58,52,B,X,6,5
55,50,B,X,6,5
46,31,A,Y,9,8
40,38,B,X,7,5
49,24,B,Y,8,6
46,36,B,X,4,6
43,30,A,X,8,7
43,21,B,Y,7,7
49,24,B,Y,3,7
55,37,A,Y,6,6
40,39,B,X,9,7
49,34,A,X,4,7
49,48,B,X,10,8
46,22,B,Y,7,6
55,27,B,Y,4,7
49,43,B,X,5,7
58,28,B,Y,10,7
46,40,B,X,5,5
58,28,B,Y,9,6
55,37,A,Y,5,7
58,28,B,Y,5,7
52,36,A,X,8,7
49,34,A,X,8,5
52,34,A,X,9,6
49,34,A,X,8,6
58,28,B,Y,9,7
49,34,A,X,5,7
43,39,B,X,8,8
55,43,B,X,4,7
46,30,A,Y,3,5
58,40,A,X,5,6
46,42,B,X,6,6
49,32,A,X,4,6
46,31,A,X,10,6
46,30,A,Y,8,6
49,47,B,X,9,8
58,39,A,Y,7,7
40,27,A,X,8,8
55,26,B,Y,6,5
58,41,A,X,8,6
49,45,B,X,7,7
43,31,B,X,4,7
58,40,A,Y,5,6
46,31,A,Y,9,6
58,28,B,Y,8,7
43,42,B,X,9,6
43,29,A,Y,8,6
55,26,B,Y,5,5
46,42,B,X,7,5
58,39,A,Y,4,6
46,42,B,X,6,7
46,44,B,X,7,7
40,28,A,X,10,8
43,42,B,X,10,6
58,39,A,X,8,6
55,27,B,Y,8,7
40,28,A,Y,5,5
40,27,A,Y,6,8
46,40,B,X,6,8
52,49,B,X,7,8
52,35,A,Y,8,8
55,27,B,Y,4,8
49,34,A,Y,7,7
52,51,B,X,10,8
49,32,A,Y,7,7
46,41,B,X,6,6
49,45,B,X,7,7
40,28,A,X,7,8
49,34,A,Y,9,8
58,28,B,Y,4,8
40,27,A,X,8,5
55,38,A,X,8,7
55,46,B,X,5,7
46,32,A,Y,4,7
55,37,A,Y,4,8
49,24,B,Y,6,6
46,22,B,Y,6,8
40,27,A,Y,9,6
46,42,B,X,7,7
49,24,B,Y,10,6
46,43,B,X,7,7
49,38,B,X,5,7
43,31,A,X,9,6
40,34,B,X,5,7
